Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,Quinn Finley,Wisconsin,F,Jr,30,13,12,25,0.83,20,105,3,4,1,-5,8,0,2,0
,Reese Laubach,Penn State,F,Jr,30,10,15,25,0.83,28,69,2,3,0,2,13,117,112,51.1
,Davis Burnside,Ohio State,F,Sr,30,12,13,25,0.83,41,98,2,3,0,6,19,1,2,33.3
,Jake Karabela,Ohio State,F,Fr,30,9,16,25,0.83,16,77,3,3,0,1,8,205,211,49.3
,Josh Nadeau,Maine,F,Jr,26,15,10,25,0.96,8,91,0,4,2,3,6,2,11,15.4
118,James Reeder,Denver,F,So,33,8,16,24,0.73,4,49,1,2,0,10,16,4,9,30.8
,Boston Buckberger,Denver,D,Jr,33,8,16,24,0.73,14,104,2,4,0,21,26,0,2,0
,Tanner Klimpke,Robert Morris,F,Jr,32,12,12,24,0.75,16,92,3,1,0,-13,21,5,2,71.4
,Adam Valentini,Michigan,F,Fr,32,9,15,24,0.75,44,75,1,4,0,5,12,18,22,45
,Jake Livanavage,North Dakota,D,Jr,32,5,19,24,0.75,10,66,1,2,1,16,42,0,0,
,Kellan Hjartarson,Bentley,F,Jr,32,6,18,24,0.75,12,70,1,2,0,13,22,80,84,48.8
,Calem Mangone,Lake Superior,F,Fr,32,11,13,24,0.75,28,78,3,3,0,2,13,1,3,25
,John Mustard,Providence,F,So,31,14,10,24,0.77,46,120,1,4,0,5,11,5,3,62.5
,Teydon Trembecky,Michigan Tech,F,Fr,31,13,11,24,0.77,6,78,3,4,0,11,13,11,9,55
,Nils Forselius,Army,F,So,31,5,19,24,0.77,20,59,2,2,0,-5,8,1,6,14.3
,Danny Nelson,Notre Dame,F,Jr,31,11,13,24,0.77,30,85,2,6,0,-14,14,306,290,51.3
,Jake Richard,Connecticut,F,Jr,30,8,16,24,0.8,32,82,0,3,0,6,12,3,5,37.5
,Sixten Jennersjö,Long Island,F,So,30,7,17,24,0.8,2,96,2,3,0,-7,17,4,5,44.4
,Ben Ivey,Army,F,So,30,13,11,24,0.8,4,69,1,5,0,-4,15,150,217,40.9
,Anthony Romani,Michigan State,F,Fr,30,12,12,24,0.8,10,66,1,3,0,6,4,3,3,50
,Noah Serdachny,Long Island,F,Gr,30,9,15,24,0.8,31,94,1,4,1,-2,19,18,22,45
,Brett Rylance,Long Island,F,Sr,29,11,13,24,0.83,10,75,1,4,2,4,17,199,246,44.7
,Ryan O'Neill,St. Thomas,F,Sr,28,4,20,24,0.86,20,42,0,1,0,7,10,0,1,0
,Václav Nestrašil,Massachusetts,F,Fr,28,11,13,24,0.86,8,75,2,5,0,1,13,3,5,37.5
,Ryker Lee,Michigan State,F,Fr,28,11,13,24,0.86,22,101,0,2,0,5,5,0,1,0
,Jackson Smith,Penn State,D,Fr,28,11,13,24,0.86,36,70,1,7,0,3,28,1,0,100
,Mick Thompson,Harvard,F,So,27,7,17,24,0.89,8,83,1,0,1,-3,6,0,1,0
,Caton Ryan,Cornell,F,Fr,27,9,15,24,0.89,8,58,0,2,0,19,9,0,4,0
,Joey Muldowney,Connecticut,F,Jr,26,15,9,24,0.92,25,94,3,2,1,13,12,1,5,16.7
,Michael Mesic,Bentley,F,So,23,10,14,24,1.04,4,73,4,1,0,8,7,93,101,47.9
,Max Nagel,Colgate,F,So,22,11,13,24,1.09,4,58,1,2,0,3,4,3,4,42.9
,Charlie Cerrato,Penn State,F,So,19,6,18,24,1.26,20,50,0,2,0,3,8,219,148,59.7
145,Jack Anderson,Michigan Tech,D,Sr,34,11,12,23,0.68,33,68,3,3,0,17,52,0,0,
,Colton Friesen,Augustana,F,Sr,34,10,13,23,0.68,16,68,0,3,0,7,15,44,32,57.9
,Clarke Caswell,Denver,F,Fr,33,4,19,23,0.7,6,49,2,0,0,4,11,218,224,49.3
,Leonid Bulgakov,Augustana,F,Fr,33,15,8,23,0.7,2,70,3,6,0,3,8,1,1,50
,Reid Pabich,Sacred Heart,F,Sr,32,10,13,23,0.72,14,103,0,5,0,-1,12,4,14,22.2
,Lucas Buzziol,Union,F,So,32,12,11,23,0.72,14,77,3,4,1,10,22,318,265,54.5
,Barron Woodring,Army,F,Jr,32,7,16,23,0.72,10,51,0,4,1,1,25,371,336,52.5
,Gavin Best,Ferris State,F,Sr,32,12,11,23,0.72,18,71,2,2,0,-12,20,13,38,25.5
,Killian Kiecker-Olson,Canisius,F,Sr,32,7,16,23,0.72,20,33,1,1,2,0,20,224,195,53.5
,Will Dawson,Air Force,F,So,32,9,14,23,0.72,6,102,1,2,0,13,37,5,7,41.7
,Kocha Delic,Miami,F,Fr,32,11,12,23,0.72,35,99,2,1,0,5,20,32,48,40
,Austin Brimmer,RIT,F,Sr,32,8,15,23,0.72,12,63,0,1,0,8,12,4,9,30.8
,Jack Ivey,Army,F,So,32,10,13,23,0.72,2,98,1,6,0,3,7,6,10,37.5
,Evan Murr,Minnesota State,D,Jr,32,7,16,23,0.72,4,84,2,2,0,14,30,0,0,
,Zach Wigle,RIT,F,Fr,32,7,16,23,0.72,4,47,3,2,0,5,22,313,244,56.2
,Evan Konyen,RIT,F,Fr,31,12,11,23,0.74,16,68,3,2,0,7,10,6,10,37.5
,Ryan Conmy,Boston College,F,Jr,29,8,15,23,0.79,8,89,1,4,0,0,6,2,5,28.6
,Michael Citara,Alaska,F,Gr,29,13,10,23,0.79,18,72,0,4,0,-6,8,5,4,55.6
,Jake Manfre,Princeton,F,So,28,12,11,23,0.82,18,71,3,3,0,17,14,7,4,63.6
,Jaxson Ezman,Princeton,F,Sr,28,9,14,23,0.82,20,79,4,4,0,-6,14,44,33,57.1
,Xavier Veilleux,Cornell,D,Fr,27,5,18,23,0.85,8,46,0,5,0,8,28,0,0,
,Ryan Walsh,Cornell,F,Jr,26,7,16,23,0.88,31,54,0,4,0,3,14,257,219,54
167,Jacob Jastrzebski,Augustana,F,Fr,34,9,13,22,0.65,6,65,1,0,0,16,32,280,313,47.2
,Ben Dexheimer,Wisconsin,D,Sr,32,6,16,22,0.69,6,69,3,3,0,-4,43,0,0,
,Cayden Casey,St. Lawrence,F,So,32,4,18,22,0.69,14,57,0,0,0,-14,11,220,326,40.3
,Declan McDonnell,Niagara,F,Jr,32,10,12,22,0.69,16,100,3,5,0,-10,11,7,5,58.3
,Ty Henricks,Western Michigan,F,So,32,9,13,22,0.69,41,67,0,3,0,8,4,6,2,75
,Luigi Benincasa,Minnesota State,F,Jr,32,6,16,22,0.69,12,93,0,1,0,5,27,215,202,51.6
,Mac Swanson,North Dakota,F,So,32,7,15,22,0.69,2,45,0,3,0,3,15,0,5,0
,Owen Michaels,Western Michigan,F,Jr,32,10,12,22,0.69,4,67,3,1,0,12,18,400,258,60.8
,Amine Hajibi,Northeastern,F,Fr,31,5,17,22,0.71,20,55,2,1,0,1,6,2,2,50
,Tanner Adams,Providence,F,Jr,31,11,11,22,0.71,6,40,2,2,1,5,13,4,15,21.1
,Rasmus Svartstrom,St. Lawrence,F,Fr,31,15,7,22,0.71,26,76,0,7,0,-18,8,18,13,58.1
,Max Montes,Ohio State,F,Jr,30,12,10,22,0.73,22,69,1,1,1,3,15,258,202,56.1
,Jake Braccini,St. Thomas,F,Sr,30,14,8,22,0.73,16,69,1,5,0,2,21,174,189,47.9
,Dillan Bentley,Mass.-Lowell,F,Sr,30,13,9,22,0.73,6,90,3,4,0,-9,23,253,229,52.5
,Colby MacArthur,Union,F,Sr,30,9,13,22,0.73,10,69,1,2,0,6,17,215,187,53.5
,Nikita Nikora,Dartmouth,F,Jr,28,6,16,22,0.79,2,54,2,1,0,5,22,7,4,63.6
