Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Georgii Merkulov,Ohio State,F,Fr,36.0,20.0,14.0,34.0,0.9444,10.0,55.0,7.0,3.0,0.0,18.0,15.0,258.0,211.0,55.0,2021-22,F,95.38300104931794,98.74081846799581,85.25708289611752,63.0115424973767,82.05666316894019,43.12696747114376,96.79958027282267,65.73976915005247,81.0012836970475,True
Oliver Chau,Quinnipiac,F,Sr,42.0,13.0,20.0,33.0,0.7857,24.0,91.0,2.0,2.0,0.0,19.0,18.0,3.0,2.0,60.0,2021-22,F,89.71668415529905,92.2875131164743,94.91080797481636,89.50682056663169,73.29485834207765,43.12696747114376,97.42917103882476,78.43651626442812,89.08857509627728,False
Blake McLaughlin,Minnesota,F,Sr,39.0,13.0,20.0,33.0,0.8462,35.0,107.0,2.0,0.0,1.0,8.0,13.0,60.0,59.0,50.4,2021-22,F,92.33997901364114,92.2875131164743,94.91080797481636,95.54039874081846,26.705141657922347,91.97271773347325,86.6211962224554,57.869884575026234,66.17458279845955,True
Alex Campbell,Clarkson,F,So,37.0,16.0,17.0,33.0,0.8919,2.0,94.0,4.0,6.0,1.0,7.0,19.0,3.0,5.0,37.5,2021-22,F,93.54669464847849,96.48478488982161,91.39559286463799,90.97586568730324,97.2193074501574,91.97271773347325,84.73242392444911,81.89926547743967,25.35301668806162,True
Mathieu Gosselin,Clarkson,F,Jr,37.0,11.0,22.0,33.0,0.8919,37.0,59.0,2.0,1.0,0.0,13.0,17.0,284.0,240.0,54.2,2021-22,F,93.54669464847849,86.98845750262329,96.27492130115425,66.68415529905562,60.8604407135362,43.12696747114376,94.12381951731375,73.9769150052466,79.20410783055199,True
Scott Morrow,Massachusetts,D,Fr,37.0,13.0,20.0,33.0,0.8919,10.0,92.0,3.0,3.0,0.0,10.0,17.0,0.0,1.0,0.0,2021-22,D,98.46743295019157,99.32950191570882,95.21072796934867,97.12643678160919,95.78544061302682,48.75478927203065,87.64367816091954,31.826923076923073,25.728155339805824,True
Tyler Weiss,Omaha,F,Sr,36.0,8.0,25.0,33.0,0.9167,20.0,85.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,,2021-22,F,94.28121720881427,74.34417628541448,98.16369359916055,86.98845750262329,26.705141657922347,43.12696747114376,67.89087093389297,65.73976915005247,,True
Jachym Kondelik,Connecticut,F,Sr,36.0,12.0,21.0,33.0,0.9167,16.0,88.0,3.0,4.0,0.0,11.0,21.0,401.0,383.0,51.1,2021-22,F,94.28121720881427,90.0314795383001,95.64533053515215,88.30010493179434,89.24449108079749,43.12696747114376,91.86778593913955,86.14900314795383,69.3196405648267,True
Matthew Knies,Minnesota,F,Fr,33.0,15.0,18.0,33.0,1.0,31.0,97.0,2.0,5.0,0.0,15.0,16.0,0.0,0.0,,2021-22,F,96.06505771248688,95.17313746065058,92.9171038824764,92.49737670514165,94.38614900314796,43.12696747114376,95.48793284365162,69.62224554039874,,True
Nick Abruzzese,Harvard,F,Jr,28.0,9.0,24.0,33.0,1.1786,8.0,71.0,1.0,5.0,0.0,14.0,9.0,93.0,128.0,42.1,2021-22,F,98.74081846799581,78.85624344176286,97.53410283315844,79.01364113326338,94.38614900314796,43.12696747114376,94.80587618048268,39.664218258132216,32.28498074454429,True
